,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,sheopur,25.6667,76.7,74.64,20,0,7.87,IN,1615145720
275,marsh harbour,26.5412,-77.0636,68.77,76,54,28.72,BS,1615145721
276,sorong,-0.8833,131.25,79.57,81,92,7.05,ID,1615145721
277,baykit,61.67,96.37,12.52,92,100,7.02,RU,1615145721
278,catuday,16.2923,119.8062,76.17,74,37,10.27,PH,1615145721
279,cozumel,20.5083,-86.9458,81.0,54,40,14.97,MX,1615145721
280,kroonstad,-27.6504,27.2349,65.07,36,0,1.99,ZA,1615145721
281,shiraz,29.6036,52.5388,57.2,21,0,11.5,IR,1615145722
282,tsumeb,-19.2333,17.7167,64.4,88,0,2.3,NA,1615145722
283,guerrero negro,27.9769,-114.0611,64.89,57,6,15.73,MX,1615145449
284,kupang,-10.1667,123.5833,78.91,81,33,3.0,ID,1615145722
285,phan thiet,10.9333,108.1,71.65,71,24,8.05,VN,1615145722
286,salta,-24.7859,-65.4117,82.4,47,40,5.75,AR,1615145430
287,esperance,-33.8667,121.9,62.6,94,90,4.61,AU,1615145723
288,svobodnyy,51.4,128.1333,-1.14,92,0,6.24,RU,1615145723
289,barra do garcas,-15.89,-52.2567,77.0,94,75,2.3,BR,1615145723
290,pacific grove,36.6177,-121.9166,59.0,33,1,4.61,US,1615145457
291,aykhal,66.0,111.5,3.36,92,100,1.81,RU,1615145723
292,henties bay,-22.116,14.2845,68.05,69,1,10.38,NA,1615145723
293,san jose,37.3394,-121.895,60.01,44,40,13.8,US,1615145724
294,tiznit,29.5833,-9.5,53.98,88,83,10.47,MA,1615145724
295,spearfish,44.4908,-103.8594,55.0,35,1,8.05,US,1615145718
296,verkhoyansk,67.5447,133.385,-22.14,81,100,2.42,RU,1615145640
297,port moresby,-9.4431,147.1797,73.4,100,20,5.75,PG,1615145724
298,kavieng,-2.5744,150.7967,81.93,75,100,6.53,PG,1615145724
299,pisco,-13.7,-76.2167,82.4,57,0,12.66,PE,1615145724
300,maniitsoq,65.4167,-52.9,22.98,95,58,15.7,GL,1615145484
301,charters towers,-20.1,146.2667,70.02,89,41,7.72,AU,1615145725
302,teya,60.3778,92.6267,10.98,92,78,8.59,RU,1615145725
303,pasinler,39.9803,41.6764,32.0,93,75,2.55,TR,1615145464
304,chisinau,47.0056,28.8575,32.0,51,0,3.44,MD,1615145553
305,tonstad,58.6626,6.7169,32.0,72,93,4.25,NO,1615145725
306,nava,28.4167,-100.7667,68.0,49,40,9.22,MX,1615145725
307,yaizu,34.8667,138.3333,46.4,93,90,3.44,JP,1615145725
308,genhe,50.7833,121.5167,-0.51,88,24,2.35,CN,1615145725
309,naze,28.3667,129.4833,62.69,92,72,5.21,JP,1615145725
310,sao filipe,14.8961,-24.4956,71.19,74,2,17.6,CV,1615145440
311,shache,38.4167,77.2406,46.6,49,100,3.0,CN,1615145726
312,asfi,32.2994,-9.2372,59.05,83,41,11.12,MA,1615145726
313,tuy hoa,13.0833,109.3,72.63,90,29,3.8,VN,1615145475
314,pangnirtung,66.1451,-65.7125,-2.2,78,1,6.91,CA,1615145726
315,quang ngai,15.1167,108.8,72.16,87,57,3.27,VN,1615145726
316,bilma,18.6853,12.9164,77.59,15,0,6.4,NE,1615145726
317,chokurdakh,70.6333,147.9167,-13.72,89,100,12.48,RU,1615145726
318,kothapet,19.3333,79.4833,75.83,19,0,1.1,IN,1615145727
319,verkh-suetka,53.3,80.05,22.46,98,100,9.46,RU,1615145727
320,tripoli,32.8752,13.1875,62.49,69,49,21.77,LY,1615145727
321,vanavara,60.34,102.2797,18.27,97,100,9.28,RU,1615145727
322,buala,-8.145,159.5921,80.08,80,100,5.61,SB,1615145727
323,jalu,29.0331,21.5482,68.74,24,0,10.16,LY,1615145727
324,nelson bay,-32.7167,152.15,66.99,94,40,5.75,AU,1615145728
325,isangel,-19.55,169.2667,71.6,94,20,11.25,VU,1615145650
326,deputatskiy,69.3,139.9,-20.33,86,100,6.82,RU,1615145728
327,beruwala,6.4788,79.9828,78.13,77,4,3.31,LK,1615145728
328,ambalema,4.7841,-74.7627,64.4,63,75,3.44,CO,1615145728
329,benjamin constant,-4.3831,-70.0311,78.8,88,75,3.44,BR,1615145728
330,swiecie,53.4095,18.4474,35.01,73,98,4.0,PL,1615145728
331,swinoujscie,53.9105,14.2471,36.0,96,80,11.81,PL,1615145729
332,pathein,16.7833,94.7333,70.83,85,0,8.03,MM,1615145729
333,peace river,56.2501,-117.286,30.2,64,20,11.5,CA,1615145729
334,floro,61.5996,5.0328,33.8,75,82,6.91,NO,1615145729
335,sieradz,51.5958,18.7302,35.01,75,82,3.0,PL,1615145729
336,berlevag,70.8578,29.0864,21.2,79,75,8.05,NO,1615145729
337,sidi ali,36.0998,0.4206,53.08,90,95,5.32,DZ,1615145729
338,shemysheyka,52.892,45.3928,28.0,88,100,23.35,RU,1615145730
339,sioux lookout,50.1001,-91.917,42.8,42,90,16.11,CA,1615145548
340,cacu,-18.5567,-51.1308,77.61,81,100,5.84,BR,1615145730
341,bodden town,19.2833,-81.25,84.0,65,75,8.05,KY,1615145730
342,merauke,-8.4667,140.3333,77.27,87,28,6.71,ID,1615145730
343,margate,51.3813,1.3862,39.0,72,0,1.52,GB,1615145730
344,ladario,-19.0047,-57.6017,91.4,52,40,4.61,BR,1615145730
345,mwinilunga,-11.7358,24.4293,64.83,91,98,0.98,ZM,1615145730
346,nsanje,-16.92,35.262,71.62,92,0,2.86,MW,1615145730
347,gorontalo,0.5412,123.0595,72.91,88,55,3.44,ID,1615145730
348,roma,43.2128,-75.4557,28.99,46,1,13.8,US,1615145731
349,okha,53.5739,142.9478,-6.39,90,31,11.61,RU,1615145731
350,saryg-sep,51.5,95.6,10.09,92,55,1.61,RU,1615145731
351,hailar,49.2,119.7,7.54,93,0,7.36,CN,1615145584
352,westport,41.1415,-73.3579,39.2,33,1,9.22,US,1615145731
353,airai,-8.9266,125.4092,58.78,100,15,0.51,TL,1615145731
354,korla,41.7597,86.1469,45.27,54,100,8.59,CN,1615145732
355,talnakh,69.4865,88.3972,-10.12,89,100,5.75,RU,1615145732
356,qarqin,37.4185,66.0436,52.56,56,0,10.33,AF,1615145732
357,mglin,53.0591,32.8475,26.22,96,100,11.56,RU,1615145732
358,christchurch,-43.5333,172.6333,53.01,87,75,5.75,NZ,1615145604
359,camacha,33.0833,-16.3333,59.0,94,75,3.44,PT,1615145732
360,manokwari,-0.8667,134.0833,76.48,76,100,3.27,ID,1615145462
361,tautira,-17.7333,-149.15,84.2,74,75,16.11,PF,1615145732
362,yakima,46.4665,-120.6678,50.0,43,1,23.02,US,1615145732
363,pafos,34.7667,32.4167,62.6,72,40,8.05,CY,1615145733
364,beihai,21.4833,109.1,68.81,88,89,14.38,CN,1615145733
365,kodinsk,58.6881,99.1844,16.18,94,100,12.73,RU,1615145733
366,kalmar,56.6616,16.3616,33.01,51,90,10.36,SE,1615145733
367,mehamn,71.0357,27.8492,26.6,79,75,8.05,NO,1615145734
368,san cristobal,7.7669,-72.225,86.0,62,40,9.22,VE,1615145734
369,lasa,46.6166,10.7002,48.2,75,0,4.61,IT,1615145734
370,ancud,-41.8697,-73.8203,68.0,52,75,14.97,CL,1615145497
371,koboko,3.4136,30.9599,73.49,41,52,4.9,UG,1615145734
372,north bend,43.4065,-124.2243,51.8,66,20,5.75,US,1615145734
373,koson,39.0375,65.585,42.8,87,0,6.91,UZ,1615145734
374,killybegs,54.6333,-8.45,46.4,93,90,12.66,IE,1615145734
375,wilmington,34.2257,-77.9447,57.99,24,20,9.22,US,1615145638
376,lotofaga,-13.9764,-171.8578,80.6,89,20,4.74,WS,1615145734
377,half moon bay,37.4636,-122.4286,57.99,76,1,14.97,US,1615145735
378,kahului,20.8947,-156.47,75.2,64,40,18.41,US,1615145594
379,leningradskiy,69.3833,178.4167,-14.84,87,100,8.34,RU,1615145735
380,sao miguel do araguaia,-13.275,-50.1628,84.2,72,41,4.61,BR,1615145735
381,bonavista,48.6499,-53.1147,33.01,64,49,14.97,CA,1615145735
382,chandler,33.3062,-111.8412,84.99,16,75,9.22,US,1615145661
383,zabol,32.25,67.25,43.29,53,0,9.73,AF,1615145735
384,mugla,37.2303,28.3557,51.8,57,0,2.3,TR,1615145561
385,sayat,38.7839,63.8803,42.8,93,82,6.91,TM,1615145735
386,vao,-22.6667,167.4833,75.16,78,20,18.72,NC,1615145735
387,solok,-0.7918,100.6593,73.4,100,40,2.3,ID,1615145736
388,tocopilla,-22.092,-70.1979,75.13,59,28,10.8,CL,1615145736
389,vila velha,-20.3297,-40.2925,86.0,78,75,9.22,BR,1615145736
390,comodoro rivadavia,-45.8667,-67.5,73.4,43,40,36.82,AR,1615145736
391,berdigestyakh,62.0989,126.6992,0.3,92,100,6.64,RU,1615145736
392,havelock,34.8791,-76.9013,54.0,46,1,16.11,US,1615145736
393,blagoyevo,63.3667,47.9167,-4.2,92,86,4.94,RU,1615145737
394,natchitoches,31.7668,-93.1335,64.4,29,1,5.75,US,1615145531
395,kano,12.0001,8.5167,82.4,17,0,4.61,NG,1615145737
396,makakilo city,21.3469,-158.0858,77.0,61,1,8.05,US,1615145737
397,san quintin,30.4833,-115.95,60.73,64,69,13.27,MX,1615145738
398,port-cartier,50.0334,-66.8654,30.0,46,40,12.66,CA,1615145738
399,praia,14.9215,-23.5087,69.8,68,0,33.38,CV,1615145738
400,lazaro cardenas,17.9583,-102.2,84.54,51,0,11.63,MX,1615145738
401,leh,34.1667,77.5833,22.44,87,100,4.45,IN,1615145738
402,chum phae,16.5443,102.0992,78.44,62,18,2.89,TH,1615145739
403,chapais,49.7834,-74.8492,10.4,56,75,8.05,CA,1615145739
404,bathurst,-33.4166,149.5806,55.0,91,45,2.33,AU,1615145739
405,polovinnoye,54.7914,65.9864,12.97,96,100,13.18,RU,1615145739
406,kozhva,65.1073,57.0459,-16.85,89,87,3.13,RU,1615145739
407,palana,59.1167,159.9667,-20.15,90,100,12.77,RU,1615145739
408,paamiut,61.994,-49.6678,31.19,98,98,7.34,GL,1615145739
409,acarau,-2.8856,-40.12,79.81,82,100,13.78,BR,1615145683
410,dzaoudzi,-12.7887,45.2699,82.4,83,92,8.05,YT,1615145740
411,fare,-16.7,-151.0167,82.74,75,99,17.0,PF,1615145740
412,balkanabat,39.5108,54.3671,47.1,63,89,8.77,TM,1615145740
413,portland,45.5234,-122.6762,48.99,57,75,17.27,US,1615145583
414,paramirim,-13.4425,-42.2389,89.56,42,33,0.69,BR,1615145740
415,constitucion,-35.3333,-72.4167,72.0,62,9,19.69,CL,1615145453
416,pedernales,18.0384,-71.744,84.51,57,5,3.83,DO,1615145740
417,vrangel,42.7297,133.0839,25.36,92,0,7.74,RU,1615145741
418,warmbad,-28.45,18.7333,79.34,22,0,15.08,NA,1615145741
419,pokhara,28.2333,83.9833,61.16,33,0,5.06,NP,1615145741
420,kamen-na-obi,53.7884,81.3423,23.45,98,100,9.04,RU,1615145741
421,ballitoville,-29.539,31.2144,78.01,83,75,9.22,ZA,1615145741
422,ngorongoro,-3.2397,35.4875,55.4,100,69,3.74,TZ,1615145741
423,kudahuvadhoo,2.6708,72.8944,82.26,75,0,12.57,MV,1615145742
424,trimbak,19.9333,73.55,66.76,26,0,2.37,IN,1615145742
425,garissa,-0.4536,39.6401,80.38,62,13,16.26,KE,1615145742
426,sibolga,1.7427,98.7792,75.04,78,79,2.55,ID,1615145742
427,baiyin,36.5583,104.2081,45.0,59,0,6.71,CN,1615145742
428,cap malheureux,-19.9842,57.6142,81.0,81,80,3.0,MU,1615145742
429,alta floresta,-9.8756,-56.0861,93.2,49,40,2.3,BR,1615145743
430,madimba,-10.4,40.3333,79.68,80,100,7.18,TZ,1615145743
431,hit,33.6416,42.8251,63.48,30,1,10.83,IQ,1615145743
432,olinda,-8.0089,-34.8553,82.4,65,40,9.22,BR,1615145743
433,covington,39.0837,-84.5086,48.0,21,1,10.36,US,1615145733
434,gamba,-2.65,10.0,78.53,88,0,6.4,GA,1615145743
435,monrovia,6.3005,-10.7969,82.4,83,20,9.75,LR,1615145538
436,kuching,1.55,110.3333,77.0,94,40,1.74,MY,1615145743
437,komsomolskiy,40.4272,71.7189,42.8,70,37,4.61,UZ,1615145743
438,ayorou,14.7308,0.9174,88.92,12,72,8.43,NE,1615145743
439,pochutla,15.7432,-96.4661,90.0,51,1,14.97,MX,1615145496
440,salamiyah,35.0113,37.0532,48.27,85,0,9.42,SY,1615145744
441,puerto carreno,6.189,-67.4859,97.11,35,99,11.16,CO,1615145744
442,usak,38.5,29.4167,36.79,86,11,3.58,TR,1615145744
443,la roche-sur-yon,46.6667,-1.4333,44.6,65,0,4.61,FR,1615145745
444,bafq,31.6128,55.4107,59.11,29,0,1.34,IR,1615145745
445,aksu,41.1231,80.2644,42.69,60,64,2.73,CN,1615145745
446,orebro,59.2741,15.2066,32.0,43,4,11.5,SE,1615145745
447,vakhrushi,58.6847,50.0261,9.46,96,100,9.17,RU,1615145745
448,oranjemund,-28.55,16.4333,64.02,86,1,10.85,NA,1615145746
449,hervey bay,-25.2986,152.8535,75.0,73,77,1.01,AU,1615145746
450,marsa matruh,31.3525,27.2453,59.0,67,0,5.75,EG,1615145746
451,qui nhon,13.7667,109.2333,73.18,89,32,5.57,VN,1615145746
452,puksoozero,62.5903,40.6066,8.19,95,100,9.71,RU,1615145746
453,buraydah,26.326,43.975,68.0,37,0,9.22,SA,1615145734
454,tarpon springs,28.1461,-82.7568,69.01,42,0,12.66,US,1615145746
455,caohai,26.8661,104.2841,42.71,96,36,3.04,CN,1615145746
456,ambo,-10.1308,-76.2047,71.65,51,100,8.52,PE,1615145746
457,camopi,3.1655,-52.3158,82.92,69,59,5.48,GF,1615145747
458,quixeramobim,-5.1992,-39.2928,88.93,44,81,5.17,BR,1615145747
459,karratha,-20.7377,116.8463,80.53,79,3,10.38,AU,1615145747
460,cambados,42.5122,-8.8131,54.0,62,0,13.8,ES,1615145747
461,samarai,-10.6167,150.6667,79.56,79,100,5.06,PG,1615145747
462,bichena,10.45,38.2,63.93,35,11,0.31,ET,1615145747
463,snezhnogorsk,69.1933,33.2531,-2.2,84,0,4.47,RU,1615145748
464,hirara,24.8,125.2833,70.81,84,97,21.99,JP,1615145748
465,alice springs,-23.7,133.8833,77.0,27,57,6.91,AU,1615145748
466,oktyabrskiy,54.4815,53.471,7.74,95,100,8.88,RU,1615145748
467,sedona,34.8697,-111.761,69.8,21,1,13.8,US,1615145489
468,pedro ii,-4.4247,-41.4586,78.84,73,100,3.69,BR,1615145713
469,stuttgart,48.7823,9.177,39.2,60,0,2.3,DE,1615145571
470,mongagua,-24.0931,-46.6208,77.0,88,90,5.75,BR,1615145748
471,acari,-15.4311,-74.6158,83.55,51,87,11.43,PE,1615145749
472,goya,-29.14,-59.2626,89.56,21,0,4.74,AR,1615145749
473,midland,31.9974,-102.0779,64.99,42,40,16.11,US,1615145749
474,omaruru,-21.4333,15.9333,76.01,38,87,1.74,NA,1615145749
475,verkhnyaya toyma,62.2349,44.9985,5.0,93,100,7.43,RU,1615145749
476,zhigansk,66.7697,123.3711,-11.99,89,100,11.03,RU,1615145749
477,valparaiso,-33.0393,-71.6273,78.8,50,0,8.05,CL,1615145750
478,waingapu,-9.6567,120.2641,77.65,78,67,4.79,ID,1615145750
479,san lawrenz,36.0553,14.204,57.2,82,75,14.97,MT,1615145750
480,dakar,14.6937,-17.4441,69.8,68,0,13.8,SN,1615145750
481,acapulco,16.8634,-99.8901,84.2,65,1,10.36,MX,1615145473
482,ghanzi,-21.5667,21.7833,72.9,44,2,4.81,BW,1615145750
483,monywa,22.1167,95.1333,72.14,30,27,8.46,MM,1615145750
484,makat,47.6469,53.3463,27.03,91,7,5.77,KZ,1615145750
485,sao joao da barra,-21.6403,-41.0511,78.8,73,75,13.8,BR,1615145750
486,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.8,54,0,8.95,RU,1615145460
487,kembe,4.6228,21.8865,77.85,48,100,3.09,CF,1615145751
488,elko,41.0002,-115.5012,51.01,31,1,3.27,US,1615145751
489,baykalsk,51.5058,104.1469,24.42,87,16,3.6,RU,1615145751
490,mortka,59.3322,66.0214,4.62,95,100,2.64,RU,1615145751
491,samana,19.2056,-69.3369,89.6,66,20,9.22,DO,1615145751
492,yar-sale,66.8333,70.8333,-23.53,86,91,7.45,RU,1615145751
493,kirakira,-10.4544,161.9205,80.2,80,100,3.2,SB,1615145751
494,mbanza-ngungu,-5.25,14.8667,70.21,91,95,3.31,CD,1615145751
495,mujiayingzi,42.1167,118.7833,29.1,81,51,6.26,CN,1615145752
496,salto,-31.3833,-57.9667,86.0,48,0,6.91,UY,1615145626
497,dapaong,10.8639,0.205,88.75,24,71,1.45,TG,1615145752
498,majene,-3.5403,118.9707,77.72,78,100,4.47,ID,1615145752
499,merrill,45.1805,-89.6835,39.0,60,40,10.36,US,1615145752
500,tanabe,33.7333,135.3667,50.94,89,100,8.46,JP,1615145752
501,konyshevka,51.8418,35.2941,32.0,74,75,20.13,RU,1615145753
502,yangjiang,21.85,111.9667,67.6,72,89,4.81,CN,1615145753
503,doha,25.2867,51.5333,66.2,55,0,6.91,QA,1615145619
504,hovd,48.0056,91.6419,22.39,70,88,1.63,MN,1615145753
505,smolenka,52.1352,113.4974,3.2,78,95,2.28,RU,1615145753
506,ahipara,-35.1667,173.1667,65.1,63,97,12.93,NZ,1615145753
507,sovetskaya,44.7769,41.1722,23.14,92,0,5.48,RU,1615145753
508,shakhta,59.0927,57.653,-4.54,93,89,3.0,RU,1615145753
509,berja,36.8469,-2.9497,57.2,88,75,1.14,ES,1615145754
510,bakchar,57.0186,82.0711,10.71,95,100,6.8,RU,1615145754
511,murgab,37.4966,61.9714,48.2,71,75,4.61,TM,1615145754
512,manoharpur,27.3,75.95,75.2,25,0,5.75,IN,1615145754
513,seoul,37.5683,126.9778,33.8,93,0,2.3,KR,1615145673
514,ballina,-28.8667,153.5667,69.8,88,40,5.75,AU,1615145754
515,nanortalik,60.1432,-45.2371,30.74,98,100,10.42,GL,1615145754
516,wanning,18.8003,110.3967,71.42,93,9,4.29,CN,1615145755
517,kuusamo,65.9667,29.1833,3.2,85,0,3.44,FI,1615145755
518,grindavik,63.8424,-22.4338,41.0,87,75,19.57,IS,1615145755
519,randolph,35.7001,-79.8164,48.99,18,1,9.22,US,1615145755
520,charagua,-19.8,-63.2167,89.6,35,20,4.61,BO,1615145755
521,khammam,17.25,80.15,71.42,72,0,7.0,IN,1615145756
522,alofi,-19.0595,-169.9187,82.4,89,100,6.91,NU,1615145756
523,maldonado,-34.6667,-54.9167,77.0,65,20,17.27,UY,1615145756
524,iracoubo,5.4802,-53.2011,79.54,85,40,13.42,GF,1615145756
525,namatanai,-3.6667,152.4333,78.6,79,100,4.88,PG,1615145757
526,durres,41.3231,19.4414,42.8,81,0,3.44,AL,1615145703
527,chitral,35.8462,71.7858,41.52,63,98,3.91,PK,1615145500
528,kavaratti,10.5669,72.642,82.06,71,0,9.73,IN,1615145757
529,aklavik,68.2191,-135.0107,-11.2,64,40,5.75,CA,1615145757
530,srednekolymsk,67.45,153.6833,-18.42,87,100,11.01,RU,1615145757
531,erenhot,43.6475,111.9767,28.15,80,0,3.6,CN,1615145757
532,tangshan,39.6333,118.1833,32.25,86,2,3.58,CN,1615145757
533,stabat,3.761,98.4513,75.2,100,40,2.3,ID,1615145757
534,brae,60.3964,-1.353,41.0,75,75,11.5,GB,1615145460
535,visby,57.6409,18.296,33.8,51,20,23.02,SE,1615145757
536,marawi,7.9986,124.2928,73.99,90,82,5.99,PH,1615145758
537,ornskoldsvik,63.2909,18.7153,28.4,46,0,10.36,SE,1615145758
538,atbasar,51.8,68.3333,31.19,97,100,24.25,KZ,1615145758
539,qaqortoq,60.7167,-46.0333,32.0,80,75,9.22,GL,1615145758
540,matara,5.9485,80.5353,76.6,89,8,7.78,LK,1615145758
541,novo aripuana,-5.1206,-60.3797,91.33,53,46,2.04,BR,1615145758
542,yining,29.0361,114.5636,45.66,85,99,2.3,CN,1615145758
543,hue,16.4667,107.6,71.6,100,90,4.61,VN,1615145758
544,tsabong,-26.0217,22.401,82.69,23,44,6.8,BW,1615145759
545,rosarito,32.3333,-117.0333,61.0,67,90,9.22,MX,1615145759
546,los llanos de aridane,28.6585,-17.9182,64.4,68,20,24.16,ES,1615145759
547,rabo de peixe,37.8,-25.5833,62.6,88,75,14.97,PT,1615145759
548,suicheng,33.8963,117.9331,38.05,76,97,4.27,CN,1615145759
